Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
9ZQFBXH6,webpage,2023,"Cantos, M.; Riddell, S.; Revelli, A.","Threat actors are interested in generative AI, but use remains limited",,,,,https://www.mandiant.com/resources/blog/threat-actors-generative-ai-limited,,2023,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8UYT9KC,conferencePaper,2023,"Carroll, M.; Chan, A.; Ashton, H.; Krueger, D.",Characterizing manipulation from AI systems,,979-8-4007-0381-2,,10.1145/3617694.3623226,https://dl.acm.org/doi/10.1145/3617694.3623226,,2023,2025-08-27 09:52:00,2025-08-27 09:52:00,,1-13,,,,,,,,,,,ACM,Boston MA USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Equity and Access in Algorithms, Mechanisms, and Optimization",,,,,,,,,,,,,,,
NKKHZMNX,journalArticle,2022,"Chew, H. S. J.",The use of artificial intelligence–based conversational agents (chatbots) for weight loss: scoping review and practical recommendations,JMIR Medical Informatics,,2291-9694,10.2196/32578,https://medinform.jmir.org/2022/4/e32578,,2022,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,4,10,,JMIR Medical Informatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEDGVYNP,webpage,2023,Council of the European Union,Artificial intelligence act: Council and Parliament strike a deal on the first rules for AI in the world,,,,,https://www.consilium.europa.eu/en/press/press-releases/2023/12/09/artificial-intelligence-act-council-and-parliament-strike-a-deal-on-the-first-worldwide-rules-for-ai/,,2023,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XRDSJ968,journalArticle,2022,"De Ridder, D.; Kroese, F.; Van Gestel, L.",Nudgeability: mapping conditions of susceptibility to nudge influence,Perspectives on Psychological Science,,"1745-6916, 1745-6924",10.1177/1745691621995183,http://journals.sagepub.com/doi/10.1177/1745691621995183,,2022,2025-08-27 09:52:00,2025-08-27 09:52:00,,346-359,,2,17,,Perspectives on Psychological Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQAEWGSE,journalArticle,2022,"Dehnert, M.; Mongeau, P. A.",Persuasion in the age of artificial intelligence (AI): theories and complications of AI-based persuasion,Human Communication Research,,"0360-3989, 1468-2958",10.1093/hcr/hqac006,https://academic.oup.com/hcr/article/48/3/386/6564679,,2022,2025-08-27 09:52:00,2025-08-27 09:52:00,,386-403,,3,48,,Human Communication Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2HMTADY8,webpage,2023,"El Atillah, I.","Man ends his life after an AI chatbot ""encouraged"" him to sacrifice himself to stop climate change",,,,,https://www.euronews.com/next/2023/03/31/man-ends-his-life-after-an-ai-chatbot-encouraged-him-to-sacrifice-himself-to-stop-climate-,,2023,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYFFJTSW,webpage,2022,"Elhage, N.; Hume, T.; Olsson, C.; Schiefer, N.; Henigahan, T.; Kravec, S.; Hatfield-Dodds, Z.; Lasenby, R.; Drain, D.; Chen, C.; Grosse, R.; McCandish, S.; Kaplan, J.; Amodei, D.; Wattenberg, M.; Olah, C.",Toy models of superposition,,,,,https://transformer-circuits.pub/2022/toy_model/index.html,,2022,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEPNPU9K,journalArticle,2018,"Ferzan, K. K.",Consent and coercion,Arizona State Law Journal,,,,https://heinonline.org/HOL/LandingPage?handle=hein.journals/arzjl50&div=40&id=&page=,,2018,2025-08-27 09:52:00,2025-08-27 09:52:00,,951-1007,,4,50,,Arizona State Law Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRVI9Z9Z,webpage,2023,"Gilbert, D.",White supremacist networks Gab and 8kun are training their own AI now,,,,,https://www.vice.com/en/article/epzjpn/ai-chatbot-white-supremacist-gab?utm_source=vicenewstwitter,,2023,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79DQ6ZQ2,journalArticle,2023,"Gillath, O.; Abumusab, S.; Ai, T.; Branicky, M. S.; Davison, R. B.; Rulo, M.; Symons, J.; Thomas, G.",How deep is AI’s love? Understanding relational AI,Behavioral and Brain Sciences,,"0140-525X, 1469-1825",10.1017/S0140525X22001704,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/abs/how-deep-is-ais-love-understanding-relational-ai/77364078496FCE70F71C7A9F293AC322,,2023,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,46,,Behavioral and Brain Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6B3GB9A,journalArticle,2019,"Go, E.; Sundar, S. S.","Humanizing chatbots: the effects of visual, identity and conversational cues on humanness perceptions",Computers in Human Behavior,,7475632,10.1016/j.chb.2019.01.020,https://linkinghub.elsevier.com/retrieve/pii/S0747563219300329,,2019,2025-08-27 09:52:01,2025-08-27 09:52:01,,304-316,,,97,,Computers in Human Behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2CIHFZMR,webpage,2023,Google,Generative AI-prohibited use policy,,,,,https://policies.google.com/terms/generative-ai/use-policy,,2023,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998R43I3,journalArticle,2022,"Graves, C. G.; Spencer, L. G.",Rethinking the rhetorical epistemics of gaslighting,Communication Theory,,"1050-3293, 1468-2885",10.1093/ct/qtab013,https://academic.oup.com/ct/article/32/1/48/6358567,,2022,2025-08-27 09:52:01,2025-08-27 09:52:01,,48-67,,1,32,,Communication Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLKNVMWU,webpage,2023,Guru,Home page,,,,,https://www.gurubot.ai/?via=topaitools,,2023,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6JK769G2,journalArticle,2018,"Gwon, S. H.; Jeong, S.",Concept analysis of impressionability among adolescents and young adults,Nursing Open,,2054-1058,10.1002/nop2.170,https://onlinelibrary.wiley.com/doi/10.1002/nop2.170,,2018,2025-08-27 09:52:01,2025-08-27 09:52:01,,601-610,,4,5,,Nursing Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2V94G7MI,bookSection,2022,"Jongepier, F.; Klenk, M.",Online manipulation: charting the field,The philosophy of online manipulation,,,,https://library.oapen.org/bitstream/handle/20.500.12657/57070/1/9781000603583.pdf#page=28,,2022,2025-08-27 09:52:01,2025-08-27 09:52:01,,15-48,,,,,,,,,,,Routledge,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRKY8RI8,journalArticle,2019,"Julmi, C.",When rational decision-making becomes irrational: a critical assessment and re-conceptualization of intuition effectiveness,Business Research,,"2198-3402, 2198-2627",10.1007/s40685-019-0096-4,https://link.springer.com/10.1007/s40685-019-0096-4,,2019,2025-08-27 09:52:01,2025-08-27 09:52:01,,291-314,,1,12,,Business Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSVBN8M,journalArticle,2018,"Kišiček, G.",Persuasive power of prosodic features,Argumentation and Advocacy,,"1051-1431, 2576-8476",10.1080/10511431.2019.1525003,https://www.tandfonline.com/doi/full/10.1080/10511431.2019.1525003,,2018,2025-08-27 09:52:01,2025-08-27 09:52:01,,345-350,,4,54,,Argumentation and Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6C4ERQXG,journalArticle,2022,"Klenk, M.","(Online) manipulation: sometimes hidden, always careless",Review of Social Economy,,"0034-6764, 1470-1162",10.1080/00346764.2021.1894350,https://www.tandfonline.com/doi/full/10.1080/00346764.2021.1894350,,2022,2025-08-27 09:52:01,2025-08-27 09:52:01,,85-105,,1,80,,Review of Social Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QD7UQH7B,book,2021,,The handbook of rationality,,,,,https://mitpress.mit.edu/9780262045070/the-handbook-of-rationality/,,2021,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,,,,,,,The MIT Press,"Cambridge, MA",,,,,,,,,,,,,,"Knauff, M.; Spohn, W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7KUP4QA,bookSection,2020,"Koch, U.; Cratsley, K.",Psychological mechanisms,Encyclopedia of personality and individual differences,,,,https://doi.org/10.1007/978-3-319-28099-8_1562-1,,2020,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,,,,,,,Springer,Cham,,,,,,,,,,,,,,"Zeigler-Hill, V.; Shackelford, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJNYC4KD,conferencePaper,2022,"Lees, A.; Tran, V. Q.; Tay, Y.; Sorensen, J.; Gupta, J.; Metzler, D.; Vasserman, L.",A new generation of perspective API: efficient multilingual character-level transformers,,978-1-4503-9385-0,,10.1145/3534678.3539147,https://dl.acm.org/doi/10.1145/3534678.3539147,,2022,2025-08-27 09:52:01,2025-08-27 09:52:01,,3197-3207,,,,,,,,,,,ACM,Washington DC USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,,,,,,,,,,,,,,
K7QUI2ZU,conferencePaper,2019,"Leong, B.; Selinger, E.",Robot eyes wide shut: understanding dishonest anthropomorphism,,978-1-4503-6125-5,,10.1145/3287560.3287591,https://dl.acm.org/doi/10.1145/3287560.3287591,,2019,2025-08-27 09:52:01,2025-08-27 09:52:01,,299-308,,,,,,,,,,,ACM,"Atlanta, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the Conference on Fairness, Accountability, and Transparency",,,,,,,,,,,,,,,
NGA363X7,journalArticle,2019,"Li, X.; Hsee, C. K.","Being ""rational"" is not always rational: encouraging people to be rational leads to hedonically suboptimal decisions",Journal of the Association of Consumer Research,,,,https://www.journals.uchicago.edu/doi/abs/10.1086/701966,,2019,2025-08-27 09:52:01,2025-08-27 09:52:01,,115-124,,2,4,,Journal of the Association of Consumer Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZSYDERB,conferencePaper,2018,"Lucas, G. M.; Boberg, J.; Traum, D.; Artstein, R.; Gratch, J.; Gainer, A.; Johnson, E.; Leuski, A.; Nakano, M.",Getting to know each other: the role of social dialogue in recovery from errors in social robots,,978-1-4503-4953-6,,10.1145/3171221.3171258,https://dl.acm.org/doi/10.1145/3171221.3171258,,2018,2025-08-27 09:52:01,2025-08-27 09:52:01,,344-351,,,,,,,,,,,ACM,Chicago IL USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of the 2018 ACM/IEEE International Conference on Human-Robot Interaction,,,,,,,,,,,,,,,
U7YJ44I3,journalArticle,2020,"Mao, Y.; Akyol, E.",On inference of network topology and confirmation bias in cyber-social networks,IEEE Transactions on Signal and Information Processing over Networks,,"2373-776X, 2373-7778",10.1109/TSIPN.2020.3015283,https://ieeexplore.ieee.org/document/9187724/,,2020,2025-08-27 09:52:01,2025-08-27 09:52:01,,633-644,,,6,,IEEE Transactions on Signal and Information Processing over Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V6LI3MU4,webpage,2023,"Marr, B.",Artificial intimacy: how generative AI can now create your dream girlfriend,,,,,https://www.forbes.com/sites/bernardmarr/2023/09/28/artificial-intimacy-how-generative-ai-can-now-create-your-dream-girlfriend/?sh=651c80ff464a,,2023,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3TDURZ2I,journalArticle,2022,Meta Fundamental AI Research Diplomacy Team,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,Science,,,,https://www.science.org/doi/abs/10.1126/science.ade9097,,2022,2025-08-27 09:52:01,2025-08-27 09:52:01,,1067-1074,,6624,378,,Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3X5TQ9E7,webpage,2023,"Mikhail, A.",ChatGPT gave advice on breast cancer screenings in a new study. Here’s how well it did,,,,,https://fortune.com/well/2023/04/04/chatgpt-advice-on-breast-cancer-screenings/,,2023,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6B6YWJJ,journalArticle,2022,"Mills, S.; Sætra, H. S.",The autonomous choice architect,AI & Society,,"0951-5666, 1435-5655",10.1007/s00146-022-01486-z,https://link.springer.com/10.1007/s00146-022-01486-z,,2022,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,AI & Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVPWYKQE,journalArticle,2023,"Mu, J.",Natural language processing with deep learning CS224N/Ling284,,,,,https://web.stanford.edu/class/cs224n/slides/cs224n-2023-lecture11-prompting-rlhf.pdf,,2023,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV5FFASZ,webpage,2023,"Nardo, C.",The Waluigi Effect (mega-post),,,,,https://www.lesswrong.com/posts/D7PumeYTDPfBTp3i7/the-waluigi-effect-mega-post,,2023,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8MTIZEQH,webpage,,Nastia,Home page,,,,,https://www.nastia.ai,,,2025-08-27 09:52:01,2025-08-27 09:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
